Object_Name,X,Y,Z,Volume
Cube,35.5,20.861255763386275,12.075568233810161,125.0
Cube,35.5,8.744029161094215,23.57159116694635,125.0
Cube,19.532522353095835,7.563919550656679,9.315631925530989,125.0
Cube,26.806988153500104,21.089039361972247,14.970729864659795,125.0
Cube,30.5,10.260504580904755,11.807652145617492,3375.0
Sphere,35.0,20.22105587661976,23.413096737674486,113.09733552923254
Sphere,35.0,13.21204368408431,31.916971183642794,113.09733552923254
Sphere,24.807465197557534,10.644840034526329,27.941873733083103,2144.660584850632
Pyramid,29.818623281788966,21.557429326320033,26.11395832826749,53.33333333333333
Pyramid,22.22478094302697,21.15495236644172,26.508599535291964,83.33333333333331
Pyramid,19.44286534175835,12.6273446227511,11.561283177952095,83.33333333333331
