Object_Name,X,Y,Z,Volume
Cube,29.387407173469995,14.053100105796581,5.922687043925379,125.0
Cube,3.3505563017822704,6.268478855114008,7.78925772313432,125.0
Cube,17.978015275501452,9.021892516277166,13.340703904414077,125.0
Cube,5.89596499465596,13.030435812875016,13.602736650654437,125.0
Cube,13.591897793383648,13.437684600121678,25.03183431967979,3375.0
Sphere,3.0978290406937985,18.484433342398734,28.324835137907847,113.09733552923254
Sphere,11.3164966633963,6.178806367843979,11.94681521728267,113.09733552923254
Sphere,29.085485300199927,14.710622078460762,19.21759195034026,2144.660584850632
Pyramid,34.765854546898105,4.721861185727839,13.149454234248052,53.33333333333333
Pyramid,3.316761033306048,18.690844346477203,11.762064104165862,83.33333333333331
Pyramid,17.58816509772311,14.463021188247097,10.039153843992212,83.33333333333331
