Object_Name,X,Y,Z,Volume
Cube,8.882033334905673,15.074518774049034,5.255257444917506,125.0
Cube,23.089597931033964,6.147129357701759,22.671890575537674,125.0
Cube,8.882067623466929,8.77140567218383,10.221410782771374,125.0
Cube,9.302757271877601,14.436193025697868,21.010482254599182,125.0
Cube,19.42439310588987,16.793551030653703,23.656718595729004,3375.0
Sphere,14.99271807111773,21.57216911580426,10.595096356886838,113.09733552923254
Sphere,9.788066078414294,7.22403187315138,3.3870989798369715,113.09733552923254
Sphere,19.379880441661733,11.62797158037364,8.160748255077799,2144.660584850632
Pyramid,9.066077989650822,22.61885642203857,10.458804584444275,53.33333333333333
Pyramid,8.88213193984596,8.910828042423548,23.330011204701716,83.33333333333331
Pyramid,23.76061738350769,22.121478328050934,7.70688458512718,83.33333333333331
